0 0 -450.064
3 0 -492.609
6 0 -535.73
9 0 -579.409
12 0 -623.603
15 0 -668.244
18 0 -713.226
21 0 -758.4
24 0 -803.555
27 0 -848.405
30 0 -892.556
33 0 -935.473
36 0 -976.438
39 0 -1014.5
42 0 -1048.46
45 0 -1076.94
48 0 -1098.45
51 0 -1111.68
54 0 -1115.73
57 0 -1110.43
60 0 -1096.35
63 0 -1074.67
66 0 -1046.89
69 0 -1014.5
72 0 -978.871
75 0 -941.09
78 0 -902.003
81 0 -862.22
84 0 -822.174
87 0 -782.163
90 0 -742.387
93 0 -702.969
96 0 -663.98
99 0 -625.443
102 0 -587.348
105 0 -549.659
108 0 -512.314
111 0 -475.232
114 0 -438.315
117 0 -401.45
120 0 -364.509
123 0 -327.355
126 0 -289.834
129 0 -251.786
132 0 -213.039
135 0 -173.412
138 0 -132.717
141 0 -90.7581
144 0 -47.332
147 0 -2.2304
150 0 44.7602
153 0 93.8578
156 0 145.284
159 0 199.262
162 0 256.021
165 0 315.786
168 0 378.79
171 0 445.261
174 0 515.432
177 0 589.534
180 0 667.802
183 0 750.469
186 0 837.773
189 0 929.956
192 0 1027.27
195 0 1129.96
198 0 1238.31
201 0 1352.6
204 0 1473.16
207 0 1600.33
210 0 1734.53
213 0 1876.21
216 0 2025.94
219 0 2184.41
222 0 2352.47
225 0 2531.18
228 0 2721.87
231 0 2926.23
234 0 3146.18
237 0 3383.56
240 0 3638.86
243 0 3908.5
246 0 4000
249 0 4000
252 0 4000
255 0 4000
258 0 4000
261 0 4000
264 0 4000
267 0 4000
270 0 4000
273 0 4000
276 0 4000
279 0 4000
282 0 4000
285 0 4000
288 0 4000
291 0 4000
294 0 4000
297 0 3908.98
300 0 3640.76
303 0 3386.85
306 0 3150.78
309 0 2932.04
312 0 2728.77
315 0 2538.99
318 0 2361
321 0 2193.42
324 0 2035.14
327 0 1885.26
330 0 1743.03
333 0 1607.84
336 0 1479.15
339 0 1356.48
342 0 1239.38
345 0 1127.47
348 0 1020.35
 
0 3 -475.49
3 3 -520.752
6 3 -566.738
9 3 -613.452
12 3 -660.88
15 3 -708.984
18 3 -757.696
21 3 -806.905
24 3 -856.448
27 3 -906.085
30 3 -955.469
33 3 -1004.1
36 3 -1051.23
39 3 -1095.8
42 3 -1136.32
45 3 -1170.92
48 3 -1197.5
51 3 -1213.93
54 3 -1218.71
57 3 -1211.59
60 3 -1193.41
63 3 -1166.18
66 3 -1132.13
69 3 -1093.37
72 3 -1051.64
75 3 -1008.26
78 3 -964.14
81 3 -919.859
84 3 -875.801
